"id","sex","bmonth","byear","agemon_1997","race","agemon_1998","agemon_1999","attend_2000","agemon_2000","attend_2001","agemon_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","agemon_2003","attend_2003","agemon_2004","attend_2004","agemon_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","attend_2006","agemon_2007","attend_2007","agemon_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","attend_2009","agemon_2010","attend_2010","rvalues_2002","rvalues_2005","rvalues_2008","rtodo_2002","rtodo_2005","rtodo_2008","cat2000","cat2001","cat2002","cat2003","cat2004","cat2005","cat2006","cat2007","cat2008","cat2009","cat2010"
47,2,9,1982,176,1,"195","207",5,220,2,233,4,"1","0","0","0","0",243,257,2,266,3,280,"1",2,"1","0","1","1","0",292,2,302,3,315,"1",2,"1","0","0","1","0",326,1,339,1,0,0,0,1,0,0,2,1,2,1,2,1,1,2,1,1,1
48,2,7,1983,166,1,"185","197",3,211,3,223,3,"1","0","0","0","0",233,245,1,259,2,268,"11",5,"1","0","1","0","0",280,3,292,4,307,"8",3,"0","0","1","0","0",317,2,329,2,0,0,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1
49,2,12,1982,172,1,"191","205",2,217,1,230,1,"1","0","0","0","0",242,251,1,264,2,276,"27",1,"1","R","1","0","0",287,1,300,2,311,"12",2,"0","0","1","0","0",322,2,335,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,12,1983,162,1,"178","192",1,207,2,216,3,"0","0","1","0","1",227,240,2,251,2,265,"2",4,"0","0","1","1","1",275,3,286,2,299,"12",2,"1","0","1","1","1",311,3,323,1,1,1,0,1,0,0,1,1,2,1,1,2,2,1,1,2,1
53,2,4,1984,160,1,"175","188",2,201,3,211,2,"1","0","1","0","1",224,235,2,248,1,261,"2",2,"1","0","1","0","1",271,1,283,2,296,"2",1,"1","0","1","D","1",306,1,319,1,0,0,0,1,1,NA,1,2,1,1,1,1,1,1,1,1,1
54,2,12,1984,149,1,"166","180",1,193,1,206,2,"0","0","0","0","0",217,228,2,242,3,252,"27",1,"1","0","0","1","0",263,2,275,5,286,"17",2,"D","D","1","D","0",300,3,311,2,1,0,NA,1,0,NA,1,1,1,1,2,1,1,2,1,2,1
55,2,2,1981,195,2,"217","226",1,239,2,252,2,"1","0","1","1","0",263,275,2,285,4,297,"1",1,"1","0","1","0","0",309,1,321,6,332,"1",3,"1","0","1","0","0",344,3,358,2,0,0,0,0,1,1,1,1,1,1,2,1,1,3,2,2,1
56,2,2,1982,182,4,"201","215",5,229,3,241,3,"1","0","1","0","0",250,262,2,273,3,286,"1",3,"1","0","1","0","0",299,3,309,2,321,"1",3,"1","0","0","0","0",333,2,345,2,0,0,0,1,1,1,2,2,2,1,2,2,2,1,2,1,1
57,1,12,1982,183,1,"191","204",7,218,7,227,3,"0","1","1","1","1",239,251,5,263,6,275,"1",5,"0","1","1","0","1",286,2,300,8,310,"1",3,"0","0","1","0","1",322,6,335,2,1,1,1,0,1,1,3,3,2,2,3,2,1,3,2,3,1
59,2,4,1981,191,1,"211","224",6,237,6,247,6,"0","0","1","0","1",259,271,6,284,2,297,"32",4,"0","1","1","0","0",307,4,318,2,330,"32",3,"0","0","1","0","0",342,1,355,3,1,1,1,1,1,1,3,3,3,3,1,2,2,1,2,1,2
60,1,1,1984,157,4,"182","190",6,202,6,214,3,"1","0","1","0","0",227,238,5,252,4,263,"2",4,"0","1","1","0","0",275,4,288,3,297,"2",3,"0","0","1","0","0",312,4,328,1,0,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,1
61,2,5,1983,165,1,"186","199",1,213,1,223,1,"0","1","1","0","0",236,247,1,264,2,272,"1",3,"0","1","1","0","1",283,2,294,4,306,"8",1,"0","1","1","0","0",317,2,330,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
62,1,3,1980,204,1,"225","237",2,250,1,261,1,"1","1","1","0","0",273,285,1,297,3,309,"12",1,"1","D","1","D","0",320,1,331,1,343,"12",1,"1","0","1","0","0",355,2,369,1,0,0,0,1,NA,1,1,1,1,1,2,1,1,1,1,1,1
63,2,10,1984,149,1,"170","182",6,195,1,206,4,"0","1","1","0","0",218,230,3,242,3,254,"2",3,"0","1","1","0","0",265,2,277,3,290,"2",2,"1","1","1","0","1",299,3,313,3,1,1,0,1,1,1,3,1,2,2,2,2,1,2,1,2,2
67,1,11,1980,199,1,"216","230",2,243,1,252,2,"1","0","1","0","0",265,277,1,292,1,307,"27",1,"1","D","D","0","0",317,4,329,2,337,"1",1,"0","1","1","0","1",346,6,362,2,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1
68,1,1,1981,196,1,"214","228",2,241,2,250,8,"1","0","0","1","0",264,280,6,290,3,298,"2",6,"1","1","1","1","1",309,6,323,2,335,"34",6,"0","1","1","0","1",344,8,358,8,0,0,1,0,0,1,1,1,3,3,2,3,3,1,3,3,3
69,2,7,1981,189,1,"208","221",7,235,7,245,6,"0","0","1","0","1",258,268,7,283,2,294,"32",7,"1","1","1","0","1",308,6,315,7,329,"32",6,"1","1","1","0","1",340,6,353,6,1,0,0,1,1,1,3,3,3,3,1,3,3,3,3,3,3
70,1,8,1982,178,1,"195","208",6,222,6,233,6,"0","1","1","0","1",243,257,6,270,6,280,"32",5,"1","1","1","0","0",291,4,302,4,315,"32",2,"0","0","1","0","0",326,4,341,3,1,0,1,1,1,1,3,3,3,3,3,2,2,2,1,2,2
71,1,1,1980,205,1,"232","243",1,252,1,264,1,"1","0","1","0","1",276,286,1,303,2,313,"1",2,"0","0","1","0","0",324,1,334,1,346,"1",1,"1","0","0","0","0",358,1,370,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1982,185,4,"204","214",1,228,1,239,1,"0","0","0","1","0",250,262,1,276,1,286,"27",1,"1","0","0","1","0",298,1,309,6,324,"12",6,"0","1","0","0","1",333,6,346,6,1,0,1,0,0,1,1,1,1,1,1,1,1,3,3,3,3
76,1,1,1982,185,4,"204","214",1,228,1,239,1,"1","0","0","1","0",251,268,1,276,1,287,"27",1,"1","D","0","1","0",298,1,309,1,324,"26",1,"1","0","0","1","0",336,1,346,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
78,2,7,1981,194,4,"209","220",1,233,1,246,1,"1","0","1","0","0",257,268,1,281,2,292,"2",1,"0","D","1","0","0",303,1,315,1,327,"2",1,"0","0","1","0","0",341,1,352,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1,12,1983,161,2,"180","191",4,204,1,217,1,"0","1","1","1","1",229,240,1,252,1,263,"1",1,"1","0","1","1","0",275,1,286,1,302,"1",1,"1","0","0","1","0",309,1,323,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1
80,1,6,1981,191,1,"213","223",2,238,1,248,1,"1","1","1","1","0",257,274,1,282,1,293,"27",1,"D","D","1","0","1",305,1,316,1,328,"24",2,"1","D","1","0","0",339,2,353,1,0,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
83,1,9,1981,191,2,"208","220",3,231,4,244,5,"0","1","0","0","1",254,266,3,283,1,291,"1",1,"0","1","1","0","1",302,2,314,2,325,"1",2,"1","0","1","0","0",336,2,351,1,1,1,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1
85,1,2,1984,159,4,"180","190",2,203,1,215,4,"1","D","D","1","0",226,241,1,251,1,264,"13",1,"1","0","1","0","0",272,1,285,1,296,"27",1,"1","0","0","0","R",307,2,323,1,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1
86,2,10,1980,198,4,"222","229",1,243,4,254,1,"R","R","R","R","R",265,277,1,289,1,301,"25",1,"1","0","0","1","0",312,1,329,1,336,"1",1,"1","0","0","1","0",348,1,361,1,NA,0,0,NA,0,0,1,2,1,1,1,1,1,1,1,1,1
89,1,11,1981,185,4,"204","216",6,228,5,244,3,"1","0","0","1","0",252,266,2,277,1,289,"26",1,"1","0","0","1","0",300,1,312,1,323,"26",1,"1","0","0","1","0",334,1,347,1,0,0,0,0,0,0,3,2,2,1,1,1,1,1,1,1,1
90,1,11,1981,188,2,"209","216",2,228,2,243,3,"1","D","1","0","0",253,264,3,277,2,288,"1",2,"0","0","1","1","0",300,2,311,2,323,"1",2,"0","1","1","0","0",335,2,347,2,0,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1
91,2,9,1982,178,2,"199","206",4,220,2,233,4,"0","0","1","1","0",243,254,2,267,3,278,"1",3,"0","0","1","0","0",290,2,302,2,314,"1",4,"0","0","0","0","0",326,2,338,1,1,1,1,0,1,1,2,1,2,1,2,2,1,1,2,1,1
92,1,4,1983,168,4,"187","199",1,213,1,224,1,"1","1","0","1","0",236,248,1,259,2,271,"21",2,"0","1","0","0","0",282,2,294,4,307,"21",2,"D","1","1","0","0",318,2,332,2,0,1,NA,0,1,1,1,1,1,1,1,1,1,2,1,1,1
97,1,6,1980,202,2,"221","233",1,246,1,258,2,"1","0","0","1","0",269,280,1,298,3,310,"13",6,"1","1","1","0","1",322,6,333,6,344,"12",6,"0","0","1","0","0",354,6,367,1,0,0,1,0,1,1,1,1,1,1,2,3,3,3,3,3,1
100,2,1,1981,195,1,"214","227",2,238,2,251,1,"1","0","1","0","0",265,276,1,286,2,298,"1",1,"1","0","1","0","0",309,2,323,2,334,"1",2,"0","0","1","0","1",345,4,359,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
101,2,7,1981,200,1,"211","222",7,232,3,249,4,"1","1","1","0","1",259,271,5,282,4,294,"2",2,"1","0","D","0","1",305,5,316,6,327,"2",6,"0","1","1","0","1",342,5,358,2,0,0,1,1,1,1,3,2,2,2,2,1,2,3,3,2,1
104,2,11,1980,196,4,"218","230",1,242,1,253,1,"1","0","1","0","0",266,276,2,290,1,302,"1",2,"1","0","1","0","0",314,2,324,2,336,"1",1,"1","0","1","0","0",346,2,360,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
105,1,8,1983,166,4,"185","195",1,209,3,222,2,"0","0","1","0","0",233,243,3,256,1,269,"1",1,"1","0","1","0","0",282,1,291,3,303,"1",2,"1","0","1","0","0",314,3,327,3,1,0,0,1,1,1,1,2,1,2,1,1,1,2,1,2,2
107,2,8,1982,174,4,"197","207",6,221,3,232,2,"1","0","0","0","0",244,256,4,269,5,281,"1",3,"0","0","1","0","0",291,3,303,3,315,"1",3,"1","0","1","0","0",326,3,339,2,0,1,0,1,1,1,3,2,1,2,2,2,2,2,2,2,1
108,1,9,1984,149,4,"172","182",6,196,6,206,3,"0","0","1","0","0",219,231,3,244,2,256,"1",4,"1","0","0","0","0",268,2,279,2,289,"1",2,"1","0","0","0","0",303,2,314,1,1,0,0,1,1,1,3,3,2,2,1,2,1,1,1,1,1
109,2,3,1982,180,4,"201","211",5,226,2,236,2,"1","0","1","0","0",250,260,1,272,1,285,"1",1,"D","0","1","0","0",298,1,307,1,320,"1",1,"1","0","1","D","D",332,2,345,1,0,NA,0,1,1,NA,2,1,1,1,1,1,1,1,1,1,1
110,2,2,1984,157,4,"178","188",3,203,3,213,2,"1","0","0","0","0",227,237,2,249,2,262,"1",1,"0","0","1","0","0",275,1,284,2,297,"1",1,"0","0","1","0","0",308,2,323,2,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
114,2,7,1982,175,4,"198","208",2,222,1,232,1,"1","0","1","0","0",245,260,1,270,1,282,"1",3,"0","0","1","0","0",294,2,306,1,319,"1",1,"1","0","0","0","0",330,1,341,2,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1
122,1,6,1984,152,4,"174","186",6,199,5,213,1,"1","0","1","0","0",222,233,1,249,4,259,"1",1,"1","0","1","0","0",269,1,280,1,292,"1",2,"1","0","D","1","0",306,1,318,1,0,0,0,1,1,0,3,2,1,1,2,1,1,1,1,1,1
126,1,5,1981,190,4,"213","225",2,235,2,250,2,"0","1","1","0","0",261,276,2,287,2,299,"1",5,"0","0","1","0","0",306,2,319,1,329,"1",2,"0","D","D","0","0",345,1,357,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
127,2,3,1982,180,4,"201","213",2,225,6,237,2,"0","0","1","0","0",250,262,6,272,6,284,"15",6,"0","0","0","0","0",295,4,308,4,320,"15",5,"0","0","1","0","0",330,2,345,2,1,1,1,1,1,1,1,3,1,3,3,3,2,2,2,1,1
135,1,4,1981,191,4,"211","N",1,241,1,251,1,"1","0","0","1","0",261,274,1,286,1,301,"25",1,"1","0","0","1","0",306,1,319,1,330,"25",1,"1","0","0","1","0",343,1,358,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
137,2,5,1980,201,4,"226","234",6,252,2,263,3,"0","0","1","0","0",274,282,3,294,4,306,"1",1,"0","0","1","0","1",317,3,332,3,341,"1",3,"0","0","1","1","1",353,3,365,3,1,1,1,1,1,0,3,1,2,2,2,1,2,2,2,2,2
138,1,4,1984,156,4,"175","187",6,199,4,211,6,"1","0","1","0","0",226,235,2,248,1,261,"25",1,"1","0","0","1","0",271,1,282,1,294,"27",2,"1","0","0","0","0",305,1,318,1,0,0,0,1,0,1,3,2,3,1,1,1,1,1,1,1,1
144,1,8,1982,175,1,"195","207",6,221,6,231,6,"0","1","1","0","1",244,255,6,269,5,279,"5",2,"0","1","1","0","1",291,4,302,4,314,"5",2,"0","1","1","0","1",326,3,340,3,1,1,1,1,1,1,3,3,3,3,2,1,2,2,1,2,2
145,1,4,1984,155,1,"175","187",6,201,6,211,6,"0","0","1","0","0",224,235,5,247,4,259,"5",3,"0","1","1","0","0",271,2,282,3,294,"5",4,"0","R","1","0","1",306,3,318,4,1,1,1,1,1,1,3,3,3,2,2,2,1,2,2,2,2
147,2,2,1984,158,4,"178","189",2,203,2,213,2,"1","1","1","1","0",225,239,3,250,5,261,"27",1,"0","D","0","D","0",273,1,284,1,298,"24",1,"0","0","0","D","0",307,1,322,1,0,1,1,0,NA,NA,1,1,1,2,2,1,1,1,1,1,1
148,2,10,1982,172,1,"196","208",1,222,1,232,1,"0","0","1","0","1",243,254,2,268,2,286,"12",2,"1","0","1","0","0",291,1,305,1,317,"27",1,"1","0","1","0","0",325,1,338,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,2,4,1983,169,1,"188","199",5,212,6,223,6,"0","1","1","0","0",237,248,5,259,5,272,"2",4,"0","1","1","0","0",284,4,294,5,307,"2",5,"0","1","1","0","1",317,2,330,3,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,1,2
150,1,2,1984,159,1,"178","189",6,202,5,213,3,"1","1","1","0","1",225,237,1,249,3,262,"27",2,"0","1","1","0","0",274,3,284,3,297,"2",4,"0","1","1","0","1",307,7,322,4,0,1,1,1,1,1,3,2,2,1,2,1,2,2,2,3,2
155,1,2,1980,207,4,"229","239",5,254,5,263,4,"1","0","0","1","0",274,289,2,297,1,310,"22",1,"1","0","0","1","0",321,1,334,1,347,"22",1,"1","0","0","1","0",358,1,371,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1
156,1,11,1982,174,4,"195","204",3,220,3,230,3,"1","0","0","1","0",241,257,4,267,2,278,"22",1,"1","0","0","0","0",290,2,301,1,311,"22",2,"1","0","0","0","0",323,2,336,2,0,0,0,0,1,1,2,2,2,2,1,1,1,1,1,1,1
157,2,3,1982,183,2,"202","213",1,226,1,237,1,"0","0","1","1","0",249,261,1,273,1,285,"1",1,"0","0","1","0","0",296,1,307,1,319,"25",1,"1","D","0","R","0",331,1,343,1,1,1,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,1
158,1,12,1984,149,2,"168","180",5,194,5,205,2,"1","0","0","1","0",217,228,2,240,2,252,"1",1,"1","0","0","1","0",263,2,274,1,286,"26",1,"1","0","0","1","0",297,1,312,1,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1
159,2,1,1980,209,2,"230","241",4,254,1,262,1,"0","0","1","1","1",276,286,2,300,2,311,"1",1,"1","1","1","1","0",322,1,334,2,346,"1",3,"1","1","1","1","1",356,2,369,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,2,1,1
164,2,7,1981,190,4,"209","223",1,233,2,244,2,"1","0","1","0","1",259,269,2,281,2,292,"1",2,"0","0","1","0","1",303,2,316,2,327,"1",1,"0","0","1","0","1",339,2,351,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,1,4,1980,208,4,"225","236",2,249,5,265,3,"0","0","0","0","0",274,283,3,297,1,309,"1",3,"0","0","1","0","0",320,3,331,3,342,"1",5,"1","0","1","0","0",355,3,368,3,1,1,0,1,1,1,1,2,2,2,1,2,2,2,2,2,2
166,2,9,1982,179,4,"196","208",3,220,3,234,3,"1","0","1","0","0",244,255,2,271,3,279,"1",2,"1","0","1","0","0",289,3,302,2,313,"1",2,"0","0","1","0","0",325,2,337,2,0,0,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1
167,1,11,1984,149,2,"171","181",7,195,2,205,6,"1","0","1","0","0",218,232,6,242,6,253,"1",3,"D","1","D","D","0",266,5,276,1,288,"1",1,"1","0","0","0","0",299,1,311,1,0,NA,0,1,NA,1,3,1,3,3,3,2,2,1,1,1,1
169,2,1,1983,171,4,"193","202",6,218,3,228,2,"1","0","1","1","0",240,254,1,264,2,276,"27",2,"0","0","0","0","0",287,2,297,1,311,"23",2,"1","0","0","D","0",320,1,335,2,0,1,0,0,1,NA,3,2,1,1,1,1,1,1,1,1,1
170,2,8,1984,152,4,"174","183",4,199,3,209,3,"1","0","0","0","0",221,231,3,245,2,256,"23",1,"1","0","0","D","0",268,1,279,2,293,"25",1,"0","0","1","0","1",301,2,317,2,0,0,1,1,NA,1,2,2,2,2,1,1,1,1,1,1,1
171,2,7,1984,151,2,"174","184",3,197,1,208,5,"1","1","1","1","0",221,235,6,245,6,258,"2",7,"0","1","1","0","1",269,7,281,7,292,"11",7,"0","1","1","0","1",303,6,317,6,0,1,1,0,1,1,2,1,2,3,3,3,3,3,3,3,3
176,1,9,1982,176,4,"194","207",6,220,6,232,6,"0","0","1","0","0",242,255,6,267,6,280,"1",6,"0","0","1","0","0",290,6,301,6,315,"1",6,"0","0","1","0","0",324,6,337,6,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
177,2,11,1980,197,4,"216","229",2,241,1,254,2,"0","0","0","0","0",266,277,2,289,2,301,"2",2,"1","0","0","0","0",312,2,323,2,336,"2",2,"1","0","0","1","0",346,2,359,2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
181,2,11,1982,172,4,"195","205",6,216,5,230,3,"0","0","0","1","1",242,252,3,265,2,277,"5",4,"1","0","0","0","0",290,2,300,1,312,"25",1,"1","0","0","1","0",324,1,337,1,1,0,0,0,1,0,3,2,2,2,1,2,1,1,1,1,1
182,2,5,1984,154,4,"177","187",6,198,6,212,5,"0","0","1","0","0",224,234,2,248,3,260,"5",3,"0","0","1","0","0",270,2,281,3,293,"5",3,"1","0","0","0","0",305,3,319,2,1,1,0,1,1,1,3,3,2,1,2,2,1,2,2,2,1
183,2,12,1980,196,4,"218","228",2,241,1,253,1,"1","0","0","1","0",266,276,1,287,1,300,"27",1,"1","0","0","0","0",311,1,323,2,334,"26",1,"1","0","0","0","0",346,1,358,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
185,1,6,1981,191,1,"209","221",1,234,1,246,1,"0","1","1","0","1",261,270,1,284,1,293,"31",1,"0","1","1","0","1",305,2,317,2,332,"31",6,"0","D","1","1","1",340,2,355,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,3
187,1,9,1983,161,2,"182","194",1,208,1,220,1,"1","1","0","1","0",231,242,1,255,1,267,"1",1,"1","0","0","0","0",277,1,290,2,301,"1",1,"1","0","0","1","0",316,2,326,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
192,2,3,1982,184,2,"200","212",5,226,5,236,1,"1","0","0","1","0",251,260,3,274,4,286,"11",7,"0","1","1","0","1",297,6,308,7,320,"12",7,"0","1","1","0","1",330,6,344,6,0,1,1,0,1,1,2,2,1,2,2,3,3,3,3,3,3
193,2,2,1981,192,1,"213","N",6,241,6,253,4,"0","1","1","0","0",262,274,5,288,2,302,"1",1,"0","1","1","0","1",313,5,323,5,332,"1",4,"0","1","1","0","0",343,5,357,3,1,1,1,1,1,1,3,3,2,2,1,1,2,2,2,2,2
195,1,1,1983,172,1,"191","203",3,215,1,230,5,"1","1","1","1","1",239,251,4,265,6,276,"2",6,"1","0","1","0","1",285,6,299,1,309,"27",1,"1","1","1","1","1",321,1,334,1,0,0,0,0,1,0,2,1,2,2,3,3,3,1,1,1,1
